user_id,product_id,rating,interaction_type
user_843,prod_109,4.8,view
user_298,prod_40,1.3,view
user_885,prod_6,2.2,view
user_929,prod_38,1.8,view
user_690,prod_169,3.2,view
user_575,prod_100,2.5,view
user_484,prod_27,1.6,view
user_165,prod_69,3.6,view
user_699,prod_57,3.1,view
user_383,prod_17,2.1,view
user_209,prod_71,2.9,view
user_739,prod_47,4.0,view
user_432,prod_79,1.8,view
user_389,prod_110,2.2,view
user_560,prod_13,2.4,view
user_224,prod_139,4.0,view
user_3,prod_124,4.4,view
user_372,prod_109,2.5,purchase
user_687,prod_90,2.2,view
user_446,prod_86,4.6,view
user_611,prod_92,5.0,purchase
user_116,prod_24,3.7,view
user_270,prod_73,5.0,purchase
user_447,prod_4,3.6,view
user_368,prod_113,3.9,view
user_253,prod_46,2.6,view
user_317,prod_18,2.7,purchase
user_415,prod_43,1.6,purchase
user_95,prod_161,4.3,view
user_785,prod_93,4.7,view
user_892,prod_103,3.5,view
user_24,prod_124,2.4,view
user_628,prod_10,1.6,purchase
user_663,prod_73,2.1,view
user_850,prod_187,2.0,view
user_50,prod_31,3.5,purchase
user_502,prod_156,4.8,purchase
user_718,prod_60,1.2,view
user_498,prod_131,1.0,view
user_335,prod_118,3.4,purchase
user_79,prod_183,2.1,view
user_582,prod_14,4.5,view
user_27,prod_186,2.3,view
user_271,prod_143,2.2,purchase
user_562,prod_2,2.1,view
user_804,prod_24,1.6,view
user_247,prod_64,3.3,view
user_776,prod_199,1.7,purchase
user_591,prod_100,2.7,view
user_387,prod_114,2.8,view
user_702,prod_24,1.1,view
user_559,prod_155,1.1,purchase
user_973,prod_165,3.1,view
user_361,prod_91,3.8,view
user_866,prod_167,4.8,purchase
user_984,prod_191,1.7,view
user_488,prod_26,1.4,view
user_352,prod_65,1.2,purchase
user_701,prod_120,2.7,view
user_928,prod_4,3.5,view
user_256,prod_157,4.4,view
user_222,prod_1,3.7,view
user_884,prod_50,1.8,view
user_753,prod_110,2.8,view
user_781,prod_139,4.6,purchase
user_1,prod_74,2.3,view
user_546,prod_187,3.0,view
user_446,prod_62,4.8,view
user_79,prod_81,3.9,view
user_236,prod_164,4.0,view
user_334,prod_56,2.0,view
user_889,prod_111,2.7,view
user_349,prod_21,1.3,view
user_98,prod_141,3.4,view
user_82,prod_9,1.4,view
user_502,prod_139,4.3,view
user_967,prod_70,4.3,view
user_477,prod_129,3.1,purchase
user_927,prod_118,1.6,view
user_704,prod_198,1.1,view
user_765,prod_56,4.2,view
user_921,prod_31,3.4,view
user_550,prod_37,3.8,view
user_14,prod_175,2.2,view
user_392,prod_91,3.0,view
user_347,prod_114,4.0,view
user_310,prod_128,2.9,view
user_386,prod_175,3.4,view
user_209,prod_122,4.2,purchase
user_357,prod_69,1.9,view
user_974,prod_186,1.3,view
